,ReviewID,Target
0,CD007697,"We found only low quality evidence comparing ultra-radical and standard surgery in women with advanced ovarian cancer and carcinomatosis. The evidence suggested that ultra-radical surgery may result in better survival.  It was unclear whether there were any differences in progression-free survival, QoL and morbidity between the two groups. The cost-effectiveness of this intervention has not been investigated. We are, therefore, unable to reach definite conclusions about the relative benefits and adverse effects of the two types of surgery.
In order to determine the role of ultra-radical surgery in the management of advanced stage ovarian cancer, a sufficiently powered randomised controlled trial comparing ultra-radical and standard surgery or well-designed non-randomised studies would be required."
1,CD000174,"Prophylactic indomethacin has short-term benefits for preterm infants including a reduction in the incidence of symptomatic PDA, PDA surgical ligation, and severe intraventricular haemorrhage. However, there is no evidence of effect on mortality or neurodevelopment."
2,CD008805,"First aid for phosphorus burns involves the common sense measures of acting promptly to remove the patient's clothes, irrigating the wound(s) with water or saline continuously, and removing phosphorus particles. There is no evidence that using copper sulphate to assist visualisation of phosphorus particles for removal is associated with better outcome, and some evidence that systemic absorption of copper sulphate may be harmful. We have so far been unable to identify any other comparisons relevant to informing other aspects of the care of patients with phosphorus burns. Future versions of this review will take account of information in articles published in languages other than English, which may contain additional evidence based on treatment comparisons."
3,CD000248,"Compared with control, there was no evidence of benefit from long-term anticoagulant therapy in people with presumed non-cardioembolic ischaemic stroke or transient ischaemic attack, but there was a significant bleeding risk."
4,CD004431,"The diversity of psychological interventions identified indicates the many ways in which they can potentially help people with MS. No definite conclusions can be made from this review. However there is reasonable evidence that cognitive behavioural approaches are beneficial in the treatment of depression, and in helping people adjust to, and cope with, having MS."
5,CD008039,"We found no new studies since the last version of this review. Ibuprofen is an effective treatment for acute migraine headaches, providing pain relief in about half of sufferers, but complete relief from pain and associated symptoms for only a minority. NNTs for all efficacy outcomes were better with 400 mg than 200 mg in comparisons with placebo, and soluble formulations provided more rapid relief. Adverse events were mostly mild and transient, occurring at the same rate as with placebo."
6,CD003287,"Our analysis suggests only a minor benefit of short acting insulin analogues in the majority of diabetic patients treated with insulin. Until long term efficacy and safety data are available we suggest a cautious response to the vigorous promotion of insulin analogues. For safety purposes, we need a long-term follow-up of large numbers of patients and well designed studies in pregnant women to determine the safety profile for both the mother and the unborn child."
7,CD008194,"The two studies included in this review provide evidence that in the US providing health insurance information and application assistance, and handing out application materials in hospital emergency departments can probably both improve insurance coverage of children. Further studies evaluating the effectiveness of different outreach strategies for expanding health insurance coverage of children in different countries are needed, with careful attention given to study design."
8,CD000505,There appears to be no evidence to support the use of low placed umbilical artery catheters. High catheters should be used exclusively.
9,CD004493,"Some well-executed RCTs show family interventions may prevent adolescent smoking, but RCTs which were less well executed had mostly neutral or negative results. There is thus a need for well-designed and executed RCTs in this area."
10,CD003734,"This systematic review provides no evidence that post-licence driver education is effective in preventing road traffic injuries or crashes. Although the results are compatible with a small reduction in the occurrence of traffic offences, this may be due to selection biases or bias in the included trials. Because of the large number of participants included in the meta-analysis (close to 300,000 for some outcomes) we can exclude, with reasonable precision, the possibility of even modest benefits."
11,CD000296,"Budesonide is more effective than placebo or mesalamine for induction of remission in Crohn's disease. Although short-term efficacy with budesonide is less than with conventional steroids, particularly in those with severe disease or more extensive colonic involvement, the likelihood of adverse events and adrenal suppression is lower."
12,CD006181,"Prophylactic surgical ligation of the PDA did not decrease mortality or BPD in ELBW infants. A significant reduction of stage II or III NEC was noted. Based on the current evidence, the high rate of spontaneous closure, availability of effective safe medical therapies, and the potential short and long-term complications of surgical ligation, the use such prophylactic surgical therapy is not indicated in the management of the preterm infants."
13,CD002818,"The efficacy of amantadine in reducing fatigue in people with MS is poorly documented, as well as its tolerability. It is advisable to: (1) improve knowledge on the underlying mechanisms of MS-related fatigue; (2) achieve an agreement on accurate, reliable and responsive outcome measures of fatigue; (3) perform good quality RCTs."
14,CD007182,"No differences were observed between the classes of antimicrobials included in this review for the symptomatic cure of acute uncomplicated UTI. Fluoroquinolones proved more effective than beta-lactams for the short-term bacteriological outcome, probably with little clinical significance. Individualised treatment should take into consideration the predictable susceptibility of urinary pathogens in local areas, possible adverse events and resistance development, and patient preference."
15,CD009148,"There are insufficient data from randomised trials to guide practice regarding the management of DFM. Based on the results of other systematic reviews of management strategies for women whose babies are thought to be at risk of compromise for various reasons, the following strategies show promise and may be prioritised for further research: Doppler ultrasound studies, computerised cardiotocography, and fetal arousal to facilitate cardiotocography.
For settings where electronic fetal assessment methods are not available, clinical fetal arousal tests should be investigated."
16,CD004667,Most women should be offered midwife-led models of care and women should be encouraged to ask for this option although caution should be exercised in applying this advice to women with substantial medical or obstetric complications.
17,CD006164,"There a only few studies on the prevention of nutritional rickets in term born children. Until new data become available, it appears sound to offer preventive measures (vitamin D or calcium) to groups of high risk, like infants and toddlers; children living in Africa, Asia or the Middle East or migrated children from these regions into areas where rickets is not frequent. Due to a marked clinical heterogeneity and the scarcity of data, the main and adverse effects of preventive measures against nutritional rickets should be investigated in different countries, different age groups and in children of different ethnic origin."
18,CD003996,"There is no strong evidence that the large-scale use of prophylactic antibiotics in clean and clean-contaminated ear surgery is helpful in reducing postoperative complications such as wound infection, discharge from the outer ear canal, labyrinthitis and graft failure."
19,CD005146,"All treatments evaluated within the included studies are effective. Benzodiazepines, however, have the potential to cause respiratory depression, probably midazolam more so than lorazepam, and use of this group of drugs outside of services fully confident of observing for and managing the consequences of respiratory distress is difficult to justify. Haloperidol used on its own is at such risk of generating preventable adverse effects that unless it is the only choice, this evidence directs that this sole treatment should be avoided. Olanzapine IM is valuable when compared with haloperidol plus promethazine but its duration of action is short and re-injection is frequently needed. Haloperidol plus promethazine used in two diverse situations in Brazil and India has much evidence to support its swift and safe clinically valuable effects."
20,CD001744,Long-term home oxygen therapy improved survival in a selected group of COPD patients with severe hypoxaemia (arterial PaO2 less than 55 mm Hg (8.0 kPa)). Home oxygen therapy did not appear to improve survival in patients with mild to moderate hypoxaemia or in those with only arterial desaturation at night.
21,CD004931,"Evidence from this review is limited for decision making, since there was large heterogeneity in IGB trials, regarding both methodological and clinical aspects. However, a co-adjuvant factor described by some authors in the loss and maintenance of weight has been the motivation and the encouragement to changing eating habits following a well-organized diet and a program of behavioural modification. The IGB alone and the technique of positioning appear to be safe. Despite the evidence for little additional benefit of the intragastric balloon in the loss of weight, its cost should be considered against a program of eating and behavioural modification."
22,CD006245,"While each of the programmes in this review showed some benefit to children with epilepsy their impacts were extremely variable. No programme showed benefits across the full range of outcomes. No study appears to have demonstrated any detrimental effects but the evidence in favour of any single programme is insufficient to make it possible to recommend one programme rather than another. More trials, carried out by independent research teams, are needed."
23,CD008234,"Based on the results of the two included studies, intratympanic gentamicin seems to be an effective treatment for vertigo complaints in Ménière's disease, but carries a risk of hearing loss."
24,CD008341,"With an overall high grade of evidence, at the FDA-approved dose, golimumab is significantly more efficacious than placebo in treatment of patients with active RA , when used in combination with methotrexate. The short-term safety profile, based on short-term RCTs, is reasonable with no differences in total adverse events, serious infections, cancer, tuberculosis or deaths. Long-term surveillance studies are needed for safety assessment."
25,CD003728,Randomised studies are possible in this field. Further evaluation of the use of art therapy for serious mental illnesses is needed as its benefits or harms remain unclear.
